view_id,name,owner_user_id,object_type,order,fields_json,conditions_json,sorts_json,created_by,created_at,updated_by,updated_at
11111111-1111-4111-8111-111111111111,My In-Review Records,1,sla-file-records,1,"[""language_code"",""file_name"",""line_of_business"",""received_at_est"",""created_by"",""delivered_at_utc"",""dtp_2""]","{""join"":""AND"",""items"":[{""field"":""status"",""operator"":""any_of"",""value"":[""In-Review""]},{""field"":""assigned_analyst_id"",""operator"":""is_me"",""value"":[]}]}","[{""field"":""received_at_est"",""direction"":""desc""}]",1,2026-08-13T13:11:00Z,1,2026-08-14T01:24:25.620Z
b028f1d9-f40e-4ea8-91af-36fdd54db603,My Records,1,sla-file-records,9999,"[""file_name"",""line_of_business"",""template_type"",""sla_met"",""status"",""record_id"",""state"",""status_hours"",""status_label"",""created_by"",""dtp_1"",""egnyte_direct_link"",""comment"",""assigned_analyst_id"",""created_at"",""delivered_at_est"",""delivered_at_utc"",""dtp_2"",""egnyte_file_path"",""egnyte_file_size_kb"",""fuzzy"",""internal"",""is_urgent"",""it_eng"",""language_code"",""new"",""pm"",""project_number"",""qa"",""qa_delivery_by"",""received_at_est"",""received_at_utc"",""total"",""updated_at"",""updated_by""]","{""join"":""AND"",""items"":[{""field"":""assigned_analyst_id"",""operator"":""is_me"",""value"":[]}]}","[{""field"":""received_at_est"",""direction"":""desc""}]",1,2026-08-14T01:28:43.720Z,1,2026-08-22T18:10:38.198Z
203b2d3f-1eff-4fd9-9863-01a2d300bfdd,My In-Review Records,5,sla-file-records,1,"[""file_name"",""project_number"",""language_code"",""status"",""sla_met"",""is_urgent"",""assigned_analyst_id"",""received_at_est"",""delivered_at_est"",""template_type"",""state"",""line_of_business""]","{""join"":""AND"",""items"":[{""field"":""assigned_analyst_id"",""operator"":""is_me"",""value"":[]}]}","[{""field"":""received_at_est"",""direction"":""desc""}]",5,2026-08-22T17:24:13.210Z,5,2026-08-22T17:24:13.210Z
